EXPEDIENTE;TIPO;REGIÓN;PROVINCIA;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD;SECTOR_PROD
121559;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;2;7678911,76;274829,98;337965,72;204462,87;INMOBILIARIA
90298;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;2;7100340,13;6134636,55;893655,84;199744,76;INMOBILIARIA
65027;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;12;2168136,01;1969355,14;542694;192354,01;INMOBILIARIA
128659;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;5;9284542,19;1083603,54;1527555,41;187168,54;INMOBILIARIA
123105;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;3;10363436,7;1861543,86;224415,21;184159,1;INMOBILIARIA
84660;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;525020,48;477359,57;0;181557,92;INMOBILIARIA
79861;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;6;385046,19;259717,69;0;180438,4;INMOBILIARIA
91609;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MEDIANA;SOCIETARIO;4;8875714,66;4571815,47;1687096,02;175583,31;INMOBILIARIA
106072;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;2231737,53;516932,36;418971,48;175208,91;INMOBILIARIA
201330;RESPONSABILIDAD LIMITADA;SIERRA;LOJA;LOJA;MEDIANA;SOCIETARIO;9;1078953,59;-37132,25;1257493;173151,85;INMOBILIARIA
55803;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;5008467,94;1549845,38;447742,56;169729,06;INMOBILIARIA
183292;RESPONSABILIDAD LIMITADA;SIERRA;AZUAY;CUENCA;PEQUEÑA;SOCIETARIO;7;3158782,84;533290,4;516192,22;167562,11;INMOBILIARIA
4140;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;2885381,9;2750947,46;500020,88;165632;INMOBILIARIA
58378;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;323962,23;323941,09;0;157518,93;INMOBILIARIA
45536;ANÓNIMA;SIERRA;PICHINCHA;SANGOLQUÍ;PEQUEÑA;SOCIETARIO;4;4742896,43;4422654,6;422097,83;156917,34;INMOBILIARIA
112746;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MEDIANA;SOCIETARIO;16;505977,46;391156,61;1092086,06;156095,5;INMOBILIARIA
41099;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;9944994,42;9338790,85;619451,15;155996,56;INMOBILIARIA
138747;ANÓNIMA;COSTA;GUAYAS;DAULE;PEQUEÑA;SOCIETARIO;4;2187192,05;799200,16;477101,11;155724,57;INMOBILIARIA
90120;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;12;4302629,5;4300755,62;480000;153170,74;INMOBILIARIA
17101;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;6;3601158,08;3132998,01;189632,26;153114;INMOBILIARIA
104895;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;5;1359651,37;580755,11;3164663,21;152305,96;INMOBILIARIA
42853;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;296462,13;295130,19;0;151828,53;INMOBILIARIA
46576;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;4;7260640,9;7044053,11;603760,66;151765,13;INMOBILIARIA
141792;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;6;4085118,87;565773,12;727667,5;149766,79;INMOBILIARIA
17676;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;2;15784841;15781387,1;660679,75;149332,42;INMOBILIARIA
146719;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MEDIANA;SOCIETARIO;56;466741,84;308766,25;1394490,1;146678,08;INMOBILIARIA
141255;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;11;495168,11;381727,92;702011,69;143138,51;INMOBILIARIA
45647;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;4;643037,34;594648,89;236176,8;141401,53;INMOBILIARIA
