AÑO;EXPEDIENTE;FIRMA;BIG4;PATRIMONIO;CAPITAL_SOCIAL;EBIT;PRECIO_ACCION;NO_ACCIONES;PAT_ACCIONES;EBIT_ACCIONES;SECTOR
2014;2308;ERNST & YOUNG;Sí;365218507;102405104;226815614,3;34,5;20481020,8;17,8320461;11,07442918;MANUFACTURA
2014;677;DELOITTE;Sí;59844896,9;39600000;7169880,98;0,7;39600000;1,51123477;0,181057601;MANUFACTURA
2014;123003;DELOITTE;Sí;3202520,66;100000;430052,47;1,45;100000;32,0252066;4,3005247;AGRICULTURA
2014;29702;DELOITTE;Sí;3436520,54;200000;330910,03;27,5;200000;17,1826027;1,65455015;AGRICULTURA
2014;144907;DELOITTE;Sí;4897722,27;350000;670461,48;16;350000;13,9934922;1,915604229;AGRICULTURA
2014;134097;DELOITTE;Sí;2870579,65;150000;323632,6;13,5;150000;19,13719767;2,157550667;AGRICULTURA
2014;115840;DELOITTE;Sí;3139383,58;90000;369795,59;19;90000;34,88203978;4,108839889;AGRICULTURA
2014;137413;DELOITTE;Sí;3676457,98;240000;274780,2;32,5;240000;15,31857492;1,1449175;AGRICULTURA
2014;139289;DELOITTE;Sí;4275472,4;1900000;1673635,74;15,5;1900000;2,250248632;0,880860916;AGRICULTURA
2014;105736;DELOITTE;Sí;3547406,38;80000;254956,85;2,1;80000;44,34257975;3,186960625;AGRICULTURA
2014;106155;PKF;No;2554841,7;900000;243536,94;39;900000;2,838713;0,2705966;AGRICULTURA
2014;109025;DELOITTE;Sí;3760804,36;90000;455963,37;3,9;90000;41,78671511;5,066259667;AGRICULTURA
2014;2234;HANSEN HOLM & CO. CIA. LTDA.;No;160540878;130000000;20934972,62;37,5;130000000;1,234929831;0,161038251;MANUFACTURA
2014;87399;PWC PRICE WATER HOUSE COOPERS;Sí;45003239,5;26669629;19387766,05;1,6;26669629;1,687434028;0,726960471;COMERCIO
2014;1814;DELOITTE;Sí;138397286;1717204,32;78694804,1;4,25;42930108;3,223781454;1,833091221;MANUFACTURA
2015;141574;MOORE STEPHENS;No;2168932,01;150000;181541,06;13,5;150000;14,45954673;1,210273733;AGRICULTURA
2015;118604;MOORE STEPHENS;No;3675936,37;100000;373728,03;32;100000;36,7593637;3,7372803;AGRICULTURA
2015;2448;MOORE STEPHENS;No;199168274;20490472;250414873,2;66,55;20490472;9,720043247;12,22103977;MANUFACTURA
2015;407;KPMG;Sí;82358913,4;61005087;25655470,8;1;61005087;1,350033537;0,420546418;MANUFACTURA
2015;384;PWC PRICE WATER HOUSE COOPERS;Sí;1013208037;500000000;261960234,7;4,35;500000000;2,026416074;0,523920469;COMERCIO
2015;4312;PWC PRICE WATER HOUSE COOPERS;Sí;54927279,1;21000000;27128112,73;5,1;21000000;2,615584719;1,291814892;MANUFACTURA
2015;130459;MOORE STEPHENS;No;3239271,66;135000;326510,76;20;135000;23,99460489;2,418598222;AGRICULTURA
2015;112126;MOORE STEPHENS;No;3919451,94;90000;425855,68;34,5;90000;43,549466;4,731729778;AGRICULTURA
2015;2308;ERNST & YOUNG;Sí;397604078;102405104;194974905,7;80;20481020,8;19,41329399;9,519784566;MANUFACTURA
2015;677;PWC PRICE WATER HOUSE COOPERS;Sí;76937310,7;39600000;7136384,52;1,12;39600000;1,942861381;0,18021173;MANUFACTURA
2015;123003;MOORE STEPHENS;No;3502228,53;100000;389033,5;27,5;100000;35,0222853;3,890335;AGRICULTURA
2015;29702;MOORE STEPHENS;No;3713062,45;200000;359818,7;16;200000;18,56531225;1,7990935;AGRICULTURA
2015;144907;MOORE STEPHENS;No;5153449,69;350000;338755,51;13,5;350000;14,72414197;0,967872886;AGRICULTURA
2015;134097;MOORE STEPHENS;No;3094592,03;150000;290089,73;19;150000;20,63061353;1,933931533;AGRICULTURA
2015;115840;MOORE STEPHENS;No;3431025,34;90000;396781,45;32,5;90000;38,12250378;4,408682778;AGRICULTURA
2015;137413;MOORE STEPHENS;No;3996372,93;240000;413069,87;15,5;240000;16,65155388;1,721124458;AGRICULTURA
2015;139289;DELOITTE;Sí;4644886,35;1900000;477522,04;2,25;1900000;2,444677026;0,251327389;AGRICULTURA
2015;105736;MOORE STEPHENS;No;3816737,99;80000;358711,4;38,25;80000;47,70922488;4,4838925;AGRICULTURA
2015;106155;HERRERA CHANG 6 ASOCIADOS;No;2591160,71;900000;275601,62;3,9;900000;2,879067456;0,306224022;AGRICULTURA
