EXPEDIENTE;TIPO;REGIÓN;PROVINCIA;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD;SECTOR_PROD
96128;ANÓNIMA;COSTA;MANABI;JARAMIJÓ;PEQUEÑA;SOCIETARIO;4;1623113,41;679072,37;515250,98;402641,48;AGRICULTURA
9856;ANÓNIMA;COSTA;EL ORO;MACHALA;MEDIANA;SOCIETARIO;97;1903303,7;1044169,56;2466733,78;400887,72;AGRICULTURA
45308;ANÓNIMA;SIERRA;IMBABURA;URCUQUI;MEDIANA;SOCIETARIO;6;2856794,11;2447023,03;1570806,27;400590,93;AGRICULTURA
620;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;48;5152841,03;4079069,6;13266263,61;388049;AGRICULTURA
105721;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;35;1921690,02;439340,66;3401018,03;381574,78;AGRICULTURA
68410;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;559;5409007,48;4326378,98;4181256,62;379430,83;AGRICULTURA
24440;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;42;3249758,04;2615444,6;4219124,73;378594,73;AGRICULTURA
38039;ANÓNIMA;COSTA;EL ORO;BARBONES (SUCRE);MEDIANA;SOCIETARIO;221;2403816,15;1080267,8;3855402,39;375386,61;AGRICULTURA
36876;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;55;2985268,55;978740,83;5498724,29;374654,44;AGRICULTURA
97275;ANÓNIMA;COSTA;EL ORO;EL GUABO;MEDIANA;SOCIETARIO;4;903349,93;462893,94;2190778,58;374508,34;AGRICULTURA
146479;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;11;4451115,88;2776690,44;30523839,62;374326,63;AGRICULTURA
174668;ANÓNIMA;COSTA;ESMERALDAS;ESMERALDAS;GRANDE;SOCIETARIO;58;12958593,4;2791109,53;15910485,26;372457,62;AGRICULTURA
97735;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;208;2256505,49;669937,64;10803659,64;370991,09;AGRICULTURA
14785;RESPONSABILIDAD LIMITADA;COSTA;MANABI;PORTOVIEJO;MEDIANA;SOCIETARIO;20;1542676,09;1209118,4;1154316;369233,12;AGRICULTURA
47475;ANÓNIMA;SIERRA;IMBABURA;COTACACHI;GRANDE;SOCIETARIO;2625;35769167,3;10299886,9;35072101,92;367509,63;AGRICULTURA
202171;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;164;6508506;4449442,62;2895240,55;367209,28;AGRICULTURA
6155;ANÓNIMA;SIERRA;AZUAY;CUENCA;PEQUEÑA;SOCIETARIO;4;8887560,93;8614939,49;8000;361296,26;AGRICULTURA
155063;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MEDIANA;SOCIETARIO;120;2901451,63;1491437,29;2906175,39;361002,53;AGRICULTURA
141240;ANÓNIMA;COSTA;LOS RIOS;VENTANAS;MEDIANA;SOCIETARIO;6;4890361,2;2812307,76;2352115,43;359639,95;AGRICULTURA
87896;ANÓNIMA;SIERRA;COTOPAXI;LASSO;MEDIANA;SOCIETARIO;6;2148379,46;1417547;459100;358080,59;AGRICULTURA
80409;ANÓNIMA;COSTA;GUAYAS;MILAGRO;MEDIANA;SOCIETARIO;161;859162,98;463706,89;2582039,19;355400,82;AGRICULTURA
71202;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;36390572,5;35639207,5;0;350900,4;AGRICULTURA
149857;ANÓNIMA;COSTA;EL ORO;MACHALA;GRANDE;SOCIETARIO;27;5199037,41;667841,28;12780903,6;349977,5;AGRICULTURA
158032;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;TABACUNDO;MEDIANA;SOCIETARIO;141;2686973,05;1879483,47;2987345,35;349590,84;AGRICULTURA
39522;RESPONSABILIDAD LIMITADA;COSTA;EL ORO;MACHALA;MEDIANA;SOCIETARIO;11;1392099,46;647068,44;1303244;348530,48;AGRICULTURA
29487;RESPONSABILIDAD LIMITADA;COSTA;LOS RIOS;QUEVEDO;GRANDE;SOCIETARIO;794;29802343,4;9557115,25;28079246,31;344808,43;AGRICULTURA
55411;ANÓNIMA;COSTA;EL ORO;MACHALA;MEDIANA;SOCIETARIO;42;1724870,89;718214,83;3375397,23;344136,41;AGRICULTURA
97441;ANÓNIMA;COSTA;EL ORO;MACHALA;MEDIANA;SOCIETARIO;149;3363690,38;1265153,84;2867981,42;331168,24;AGRICULTURA
202163;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;170;5602610,13;3311237,62;3307235,73;329071,37;AGRICULTURA
202172;ANÓNIMA;SIERRA;AZUAY;CUENCA;MEDIANA;SOCIETARIO;198;5557757,64;2899042,88;3629947,91;327581,83;AGRICULTURA
120360;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;21;1618299,17;410921,09;2249858,18;326733,09;AGRICULTURA
55767;ANÓNIMA;COSTA;GUAYAS;SAMBORONDÓN;MEDIANA;SOCIETARIO;23;2294209,37;1105110,42;2638694,98;325666,59;AGRICULTURA
5274;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;61;9342110,13;7059795,01;6193936,51;324789,5;AGRICULTURA
127393;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;16;2545178,56;637122,72;12228893,9;321786,52;AGRICULTURA
40493;ANÓNIMA;COSTA;GUAYAS;SAMBORONDÓN;MEDIANA;SOCIETARIO;38;6857452,01;5143971,48;4935750,14;315365,98;AGRICULTURA
170590;RESPONSABILIDAD LIMITADA;COSTA;EL ORO;SANTA ROSA;GRANDE;SOCIETARIO;97;17953536;824624,02;5345508,71;311861,47;AGRICULTURA
18769;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;734;42588010;19967283,6;26889400,89;311108,31;AGRICULTURA
20916;ANÓNIMA;COSTA;GUAYAS;SAMBORONDÓN;PEQUEÑA;SOCIETARIO;4;3917523,72;2952513,95;77742,08;306264,95;AGRICULTURA
170269;ANÓNIMA;SIERRA;COTOPAXI;LA MANÁ;GRANDE;SOCIETARIO;3;4630264,78;1355967,74;5945861,19;306157,17;AGRICULTURA
179827;RESPONSABILIDAD LIMITADA;SIERRA;AZUAY;CUENCA;GRANDE;SOCIETARIO;45;2714037,63;1499856,38;6401015,34;304797,34;AGRICULTURA
9649;ANÓNIMA;COSTA;GUAYAS;ELOY ALFARO (DURAN);GRANDE;SOCIETARIO;197;10652191,3;3755251,39;29148385,97;302513,67;AGRICULTURA
38904;ANÓNIMA;COSTA;EL ORO;HUAQUILLAS;MEDIANA;SOCIETARIO;49;1848560,02;644229,65;2762801,16;300410,99;AGRICULTURA
19424;ANÓNIMA;COSTA;EL ORO;MACHALA;GRANDE;SOCIETARIO;27;2973270,14;1462704,55;6181343,97;298908,52;AGRICULTURA
713059;ANÓNIMA;COSTA;EL ORO;MACHALA;GRANDE;SOCIETARIO;79;8559681,51;299618,8;5567365,36;298886,02;AGRICULTURA
62987;RESPONSABILIDAD LIMITADA;COSTA;EL ORO;MACHALA;MEDIANA;SOCIETARIO;55;2903882,88;2505775,14;1710845,42;298509,75;AGRICULTURA
120997;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;25;1855883,62;895114,83;4784738,3;297667,46;AGRICULTURA
703906;ANÓNIMA;COSTA;EL ORO;MACHALA;MEDIANA;SOCIETARIO;64;608365,66;325843,15;1402063,6;297244,3;AGRICULTURA
102731;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;65;9586564,48;6184131,58;7051517,28;294441,2;AGRICULTURA
21917;RESPONSABILIDAD LIMITADA;COSTA;EL ORO;MACHALA;GRANDE;SOCIETARIO;375;3296475,68;2591465,87;1821161,82;294003,08;AGRICULTURA
178471;ANÓNIMA;COSTA;GUAYAS;SAMBORONDÓN;GRANDE;SOCIETARIO;30;5438604,07;2072252,65;8124726,33;292573,76;AGRICULTURA
148365;ANÓNIMA;COSTA;EL ORO;MACHALA;GRANDE;SOCIETARIO;5;3441628,8;829656,87;7961284,02;280782,04;AGRICULTURA
127970;ANÓNIMA;COSTA;EL ORO;MACHALA;MEDIANA;SOCIETARIO;65;1482666,02;280238,89;4390258,53;278853,51;AGRICULTURA
105479;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;12;9222880,91;2059630,45;7997821,09;275538,53;AGRICULTURA
49308;ANÓNIMA;SIERRA;PICHINCHA;MACHACHI;MEDIANA;SOCIETARIO;220;4169908,09;2932320,67;4684800,03;275534,59;AGRICULTURA
116041;ANÓNIMA;COSTA;GUAYAS;EL TRIUNFO;GRANDE;SOCIETARIO;10;7046265,45;1453942,8;9085110,51;272892,45;AGRICULTURA
39054;RESPONSABILIDAD LIMITADA;COSTA;EL ORO;MACHALA;MEDIANA;SOCIETARIO;170;1379590,39;635196,3;4183081,21;265254,15;AGRICULTURA
128792;ANÓNIMA;COSTA;EL ORO;MACHALA;MEDIANA;SOCIETARIO;39;1579058,2;665611,14;2961651,84;263271,16;AGRICULTURA
86628;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;CAYAMBE;GRANDE;SOCIETARIO;242;8647253,05;6422252,1;6360601,65;260601,31;AGRICULTURA
165221;ANÓNIMA;COSTA;GUAYAS;SANTA LUCIA;GRANDE;SOCIETARIO;13;1775295,07;573815,23;5401717,24;255640,12;AGRICULTURA
708257;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;136;4969212,25;1273691,08;6029257,99;255291,65;AGRICULTURA
34965;ANÓNIMA;SIERRA;PICHINCHA;CAYAMBE;GRANDE;SOCIETARIO;245;5889863,38;1245848,58;5138224,99;254172,57;AGRICULTURA
202164;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;236;8473151,1;2299165,19;3622181,96;253302,39;AGRICULTURA
13066;ANÓNIMA;COSTA;EL ORO;HUAQUILLAS;MEDIANA;SOCIETARIO;52;1884647,4;625976,31;2670578,91;250519,43;AGRICULTURA
134884;ANÓNIMA;COSTA;GUAYAS;SAMBORONDÓN;GRANDE;SOCIETARIO;872;13935076,4;6231975,85;16565154,6;247670,88;AGRICULTURA
126736;ANÓNIMA;COSTA;GUAYAS;SAMBORONDÓN;GRANDE;SOCIETARIO;24;6884685,13;4872588,53;5099817,72;246417,26;AGRICULTURA
