EXPEDIENTE;TIPO;REGIÓN;PROVINCIA;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD;SECTOR_PROD
144592;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;3;6831,68;6170,27;11565;-566,43;MANUFACTURA
109767;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;189180,66;-1723,77;5520;-583,06;MANUFACTURA
708577;SUCURSAL EXTRANJERA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;3;3367,29;2351,88;0;-589,06;MANUFACTURA
707589;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;4;1475,11;-2099,89;0;-611,98;MANUFACTURA
74388;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;2;380094,61;380094,61;0;-617,18;MANUFACTURA
6401;ANÓNIMA;SIERRA;AZUAY;CUENCA;PEQUEÑA;SOCIETARIO;4;65081,43;58312,13;103489,44;-627,71;MANUFACTURA
307446;RESPONSABILIDAD LIMITADA;SIERRA;TUNGURAHUA;AMBATO;MICROEMPRESA;SOCIETARIO;3;1748,76;1748,76;40;-651,24;MANUFACTURA
86630;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;2;4553,17;-3260,45;2427;-669,04;MANUFACTURA
35198;RESPONSABILIDAD LIMITADA;COSTA;MANABI;MANTA;MICROEMPRESA;SOCIETARIO;4;41389,39;5833,53;0;-679,63;MANUFACTURA
175368;ANÓNIMA;COSTA;MANABI;MONTECRISTI;MICROEMPRESA;SOCIETARIO;6;105415,65;100130,39;0;-681,28;MANUFACTURA
715682;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;4;3000;2301;0;-699;MANUFACTURA
155560;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;9;96615,37;34493,36;278042,2;-702,87;MANUFACTURA
706128;ANÓNIMA;SIERRA;AZUAY;CUENCA;PEQUEÑA;SOCIETARIO;11;285653,6;-16247,77;177487,39;-735,9;MANUFACTURA
46125;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;4;216185,34;182028,34;70241,68;-752,56;MANUFACTURA
303555;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;3;3813,66;3459,48;0;-755,39;MANUFACTURA
718561;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;2;42334,44;1237,21;0;-762,79;MANUFACTURA
310537;RESPONSABILIDAD LIMITADA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;2592,9;236,16;238,91;-763,84;MANUFACTURA
161802;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;12;173452,69;86478,73;229005,33;-801,63;MANUFACTURA
714234;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;6;0;-802,83;0;-802,83;MANUFACTURA
152236;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;4;74095,39;74095,39;23241,82;-861,09;MANUFACTURA
177228;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;4;1157,97;-978,88;0;-863,81;MANUFACTURA
301421;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;2;2441,37;-1172,43;0;-864,32;MANUFACTURA
55112;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;1;568929,72;555337,92;31750,4;-876,2;MANUFACTURA
310118;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;3;0;-476,32;0;-878,32;MANUFACTURA
720306;RESPONSABILIDAD LIMITADA;SIERRA;AZUAY;CUENCA;MICROEMPRESA;SOCIETARIO;3;3508,04;-478,34;212,75;-878,34;MANUFACTURA
96740;RESPONSABILIDAD LIMITADA;SIERRA;COTOPAXI;SALCEDO;MEDIANA;SOCIETARIO;21;2486591,51;61535,61;2184911,15;-886,05;MANUFACTURA
306080;RESPONSABILIDAD LIMITADA;COSTA;MANABI;MANTA;MICROEMPRESA;SOCIETARIO;3;2617,92;-3227,65;19800,03;-898,64;MANUFACTURA
22020;RESPONSABILIDAD LIMITADA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;13;930205,46;488534,94;494753,06;-911,88;MANUFACTURA
90808;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;10025,87;9953,18;0;-917,26;MANUFACTURA
714034;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;6;17273,51;-551,69;6355,37;-925,35;MANUFACTURA
705526;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;4;2351,36;2351,36;12343;-933,92;MANUFACTURA
307625;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;3;0;0;30123,54;-953,69;MANUFACTURA
205129;ANÓNIMA;COSTA;MANABI;MANTA;PEQUEÑA;SOCIETARIO;9;343375,86;71272,29;295433,6;-965,06;MANUFACTURA
177167;ANÓNIMA;COSTA;GUAYAS;NARCISA DE JESÚS (NOBOL);MICROEMPRESA;SOCIETARIO;2;3387560,62;44784,44;0;-976,56;MANUFACTURA
110565;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;297740,35;297740,35;2400;-984,36;MANUFACTURA
153474;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;9;135600,63;54103,6;171722,47;-996,2;MANUFACTURA
103684;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;147307,81;76256,83;122160,8;-996,99;MANUFACTURA
305182;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;CUMBAYÁ;MICROEMPRESA;SOCIETARIO;3;3137,54;2677,77;0;-1012,21;MANUFACTURA
305904;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;295,26;-226,3;26980,96;-1026,3;MANUFACTURA
717797;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;2;522,44;-630,31;0;-1030,31;MANUFACTURA
167318;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;1;28457,65;28372,66;0;-1040,82;MANUFACTURA
709284;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;SANGOLQUÍ;MICROEMPRESA;SOCIETARIO;7;33252,73;-413,95;16710,63;-1051,12;MANUFACTURA
717448;RESPONSABILIDAD LIMITADA;SIERRA;AZUAY;CUENCA;MICROEMPRESA;SOCIETARIO;2;6785,46;-665,91;0;-1065,91;MANUFACTURA
